split_type,dataset,fingerprint,model,training,r2,rmse,mae,mse,n_samples,r2_std,rmse_std,r2_mean_folds,rmse_mean_folds
cs,hu,avalon,LightGBM,simple,0.7286579623328715,1.0527789674219186,0.7909510116834403,1.1083435542459612,258,,,,
cs,hu,avalon,RandomForest,cv,0.6818475494825769,1.139977540985379,0.8677313538866388,1.2995487939510715,258,0.012252777848574935,0.021492082312386637,0.663377118985105,1.1724046047042094
cs,hu,avalon,RandomForest,simple,0.6877593726866593,1.1293364990286514,0.8601356071361885,1.2754009280382912,258,,,,
cs,hu,avalon,Ridge,cv,-0.7268966411729934,2.655900687317913,1.8519700573941456,7.053808460895763,258,0.43664647921366584,0.2687986672290467,-1.8502496720819892,3.4014828791855556
cs,hu,avalon,Ridge,simple,-0.9334244079431988,2.8102325346220494,1.8942489657607777,7.897406898648267,258,,,,
cs,hu,avalon,SVR,cv,0.5830359778127345,1.305052402934331,1.0002204532930514,1.703161774404671,258,0.0037105016313644314,0.005778888962481922,0.5800118873517538,1.3097636428617885
cs,hu,avalon,SVR,simple,0.6003234183660199,1.2777121072309174,0.9771086148893413,1.6325482289644717,258,,,,
cs,hu,avalon,XGBoost,cv,0.7340788380693011,1.042209694977874,0.7828358316022989,1.0862010483058733,258,0.016597450314662247,0.029483800603272672,0.6762868200917456,1.149518708795014
cs,hu,avalon,XGBoost,simple,0.6902236505089571,1.1248711741418254,0.839778867798186,1.2653351584152088,258,,,,
cs,hu,maccs,DNN,cv,0.7332559927535345,1.0438209149705482,0.736249326371115,1.0895621025299522,258,0.01241487134924242,0.023101727354504855,0.7037964672985055,1.0997094831690242
cs,hu,maccs,DNN,simple,0.7399466758412732,1.0306468107502331,0.7526213583373285,1.062232848509627,258,,,,
