dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
lo,pc,maccs+avalon,DNN,0.950742,0.667746,0.668329,0.6790286000000001,0.03511181408927772,0.6790286000000001,0.03511181408927772
lo,pc,morgan+maccs+avalon,DNN,0.950289,0.672494,0.668645,0.6796068,0.05060785939910913,0.6796068,0.05060785939910913
lo,ac,morgan,DNN,1.419108,1.071564,0.520441,0.6071166,0.07093095709096277,0.6071166,0.07093095709096277
lo,ac,maccs,DNN,1.353141,0.969835,0.563989,0.7015176000000001,0.034925054803679266,0.7015176000000001,0.034925054803679266
lo,ac,avalon,DNN,1.336196,0.995786,0.574841,0.6697504000000001,0.014450315132895887,0.6697504000000001,0.014450315132895887
lo,ac,morgan+maccs,DNN,1.352425,0.997832,0.564451,0.679521,0.04220516516731097,0.679521,0.04220516516731097
lo,ac,morgan+avalon,DNN,1.361587,1.012168,0.558529,0.6767128,0.030702909154671314,0.6767128,0.030702909154671314
lo,ac,maccs+avalon,DNN,1.316283,0.959911,0.587419,0.7068166,0.009642787742141768,0.7068166,0.009642787742141768
lo,ac,morgan+maccs+avalon,DNN,1.28339,0.941666,0.607781,0.7078132,0.013489828277631972,0.7078132,0.013489828277631972
lo,sa,morgan,DNN,1.088403,0.809603,0.535786,0.5901228000000001,0.026807250947458228,0.5901228000000001,0.026807250947458228
lo,sa,maccs,DNN,0.996037,0.745548,0.611233,0.6192844,0.06752675416336847,0.6192844,0.06752675416336847
lo,sa,avalon,DNN,1.061044,0.799358,0.55883,0.6169316,0.040213849826148215,0.6169316,0.040213849826148215
lo,sa,morgan+maccs,DNN,1.004898,0.734353,0.604285,0.6661269999999999,0.04537997535477513,0.6661269999999999,0.04537997535477513
lo,sa,morgan+avalon,DNN,1.024311,0.763299,0.588848,0.6432488,0.03716901205251495,0.6432488,0.03716901205251495
lo,sa,maccs+avalon,DNN,1.045576,0.765753,0.571599,0.6440108,0.061238921085858454,0.6440108,0.061238921085858454
lo,sa,morgan+maccs+avalon,DNN,0.984196,0.729756,0.620421,0.6703882,0.03388707783447842,0.6703882,0.03388707783447842
lo,ti,morgan,DNN,1.173683,0.918198,0.481018,0.5919508,0.03806271838636858,0.5919508,0.03806271838636858
lo,ti,maccs,DNN,0.90447,0.660185,0.691796,0.6171864,0.06375594921762202,0.6171864,0.06375594921762202
lo,ti,avalon,DNN,1.000488,0.781127,0.622885,0.5849506,0.03266510668955485,0.5849506,0.03266510668955485
